who is the author of the book , `` the iron lady : a biography of margaret thatcher '' ?	HUM	(ROOT (SBARQ (WHNP (WP who)) (@SBARQ (SQ (VBZ is) (NP (NP (DT the) (NN author)) (PP (IN of) (NP (@NP (@NP (@NP (NP (DT the) (NN book)) (, ,)) (`` ``)) (NP (@NP (NP (DT the) (@NP (NN iron) (NN lady))) (: :)) (NP (NP (DT a) (NN biography)) (PP (IN of) (NP (NN margaret) (NN thatcher)))))) ('' ''))))) (. ?))))
0	0	the tory campaign manifesto drawn up for the <num> election that made thatcher prime minister , in young 's words , `` openly contemplated the perpetuation of the comfortable welfare state . ''	(ROOT (FRAG (@FRAG (NP (NP (DT the) (@NP (JJ tory) (@NP (NN campaign) (NN manifesto)))) (VP (@VP (VBN drawn) (PRT (RP up))) (PP (IN for) (NP (NP (DT the) (@NP (NN <num>) (NN election))) (SBAR (WHNP (WDT that)) (S (VP (@VP (@VP (@VP (VBD made) (NP (@NP (NP (JJ thatcher) (@NP (JJ prime) (NN minister))) (, ,)) (PP (IN in) (NP (NP (JJ young) (POS 's)) (NNS words))))) (, ,)) (`` ``)) (S (ADVP (RB openly)) (VP (VBN contemplated) (NP (NP (DT the) (NN perpetuation)) (PP (IN of) (NP (DT the) (@NP (JJ comfortable) (@NP (NN welfare) (NN state))))))))))))))) (. .)) ('' '')))
0	0	young observes that `` there was a genuine clash of cultures , between an almost cromwellian impatience with the status quo -lrb- on the part of the thatcherites -rrb- and the mandarin world of whitehall , in which skepticism and rumination were more highly rated habits of mind than zeal or blind conviction . ''	(ROOT (S (NP (JJ young)) (@S (@S (VP (VBZ observes) (SBAR (@SBAR (IN that) (`` ``)) (S (NP (EX there)) (VP (@VP (@VP (VBD was) (NP (NP (DT a) (@NP (JJ genuine) (NN clash))) (PP (IN of) (NP (NNS cultures))))) (, ,)) (PP (IN between) (NP (NP (@NP (@NP (@NP (@NP (@NP (NP (DT an) (@NP (ADJP (RB almost) (JJ cromwellian)) (NN impatience))) (PP (IN with) (NP (DT the) (@NP (NN status) (@NP (NN quo) (NN -lrb-)))))) (PP (IN on) (NP (DT the) (NN part)))) (PP (IN of) (NP (@NP (NP (DT the) (@NP (NNS thatcherites) (JJ -rrb-))) (CC and)) (NP (DT the) (@NP (JJ mandarin) (NN world)))))) (PP (IN of) (NP (NN whitehall)))) (, ,)) (SBAR (WHPP (IN in) (WHNP (WDT which))) (S (NP (@NP (NN skepticism) (CC and)) (NN rumination)) (VP (VBD were) (ADJP (RBR more) (RB highly)))))) (VP (@VP (VBN rated) (NP (NP (NNS habits)) (PP (IN of) (NP (NN mind))))) (PP (IN than) (NP (@NP (NP (NN zeal)) (CC or)) (NP (JJ blind) (NN conviction))))))))))) (. .)) ('' ''))))
0	0	despite thatcher 's own ambition to go `` on and on , '' young argues that in fact her era has come and gone .	(ROOT (S (PP (IN despite) (NP (NP (NN thatcher) (POS 's)) (@NP (JJ own) (@NP (NN ambition) (S (VP (TO to) (VP (@VP (VB go) (`` ``)) (ADVP (@ADVP (IN on) (CC and)) (IN on))))))))) (@S (, ,) (@S ('' '') (@S (NP (JJ young)) (@S (VP (VBZ argues) (SBAR (IN that) (S (PP (IN in) (NP (NN fact))) (@S (NP (PRP$ her) (NN era)) (VP (VBZ has) (VP (@VP (VBN come) (CC and)) (VBN gone))))))) (. .)))))))
0	0	`` normally , i discourage people from entering politics if they have a young family and do n't have money , '' barber said on tuesday .	(ROOT (S (`` ``) (@S (S (ADVP (RB normally)) (@S (, ,) (@S (NP (FW i)) (VP (@VP (@VP (VB discourage) (NP (NNS people))) (PP (IN from) (S (VP (VBG entering) (NP (NNS politics)))))) (SBAR (IN if) (S (NP (PRP they)) (VP (@VP (VP (VBP have) (NP (DT a) (@NP (JJ young) (NN family)))) (CC and)) (VP (@VP (VBP do) (RB n't)) (VP (VB have) (NP (NN money))))))))))) (@S (, ,) (@S ('' '') (@S (NP (NN barber)) (@S (VP (VBD said) (PP (IN on) (NP (NNP tuesday)))) (. .))))))))
0	0	major learned his politics as a young conservative on a soapbox in brixton , a poor , racially mixed neighborhood in south london , where he took on the socialist labor party for its inept management of the area 's public housing projects .	(ROOT (S (NP (JJ major)) (@S (VP (@VP (@VP (@VP (@VP (VBD learned) (NP (PRP$ his) (NNS politics))) (PP (IN as) (NP (DT a) (@NP (JJ young) (JJ conservative))))) (PP (IN on) (NP (NP (DT a) (NN soapbox)) (PP (IN in) (NP (@NP (NP (NN brixton)) (, ,)) (NP (NP (DT a) (@NP (JJ poor) (@NP (, ,) (@NP (ADJP (RB racially) (JJ mixed)) (NN neighborhood))))) (PP (IN in) (NP (JJ south) (NNP london))))))))) (, ,)) (SBAR (WHADVP (WRB where)) (S (NP (PRP he)) (VP (@VP (VBD took) (PRT (RP on))) (NP (NP (DT the) (@NP (JJ socialist) (@NP (NN labor) (NN party)))) (PP (IN for) (NP (NP (PRP$ its) (@NP (JJ inept) (NN management))) (PP (IN of) (NP (NP (DT the) (@NP (NN area) (POS 's))) (@NP (JJ public) (@NP (NN housing) (NNS projects)))))))))))) (. .))))
0	0	biography	(ROOT (NP (NN biography)))
0	0	this second volume of ward 's lively and psychologically revealing biography begins with his honeymoon abroad in <num> and concludes with his election as governor of new york in <num> .	(ROOT (S (NP (NP (DT this) (@NP (JJ second) (NN volume))) (PP (IN of) (NP (NP (NN ward) (POS 's)) (@NP (ADJP (@ADJP (JJ lively) (CC and)) (RB psychologically)) (@NP (VBG revealing) (NN biography)))))) (@S (VP (@VP (VP (@VP (VBZ begins) (PP (IN with) (NP (PRP$ his) (NN honeymoon)))) (PP (ADVP (RB abroad)) (@PP (IN in) (NP (NN <num>))))) (CC and)) (VP (@VP (VBZ concludes) (PP (IN with) (NP (PRP$ his) (NN election)))) (PP (IN as) (NP (NP (NN governor)) (PP (IN of) (NP (NP (JJ new) (NN york)) (PP (IN in) (NP (NN <num>))))))))) (. .))))
0	0	the central riddle revealed here is why , as a woman in a man 's world , margaret thatcher evinces such an exclusionary attitude toward women .	(ROOT (S (NP (DT the) (@NP (JJ central) (NN riddle))) (@S (VP (VBD revealed) (SBAR (S (NP (RB here)) (VP (VBZ is) (SBAR (WHADVP (WRB why)) (S (, ,) (@S (PP (IN as) (NP (NP (DT a) (NN woman)) (PP (IN in) (NP (NP (DT a) (@NP (NN man) (POS 's))) (NN world))))) (@S (, ,) (@S (NP (NN margaret) (NN thatcher)) (VP (@VP (VBZ evinces) (NP (PDT such) (@NP (DT an) (@NP (JJ exclusionary) (NN attitude))))) (PP (IN toward) (NP (NNS women))))))))))))) (. .))))
0	0	the author , whose career as a political columnist has coincided with thatcher 's as political leader , describes two qualities that are her greatest strengths : her `` sense of moral rectitude '' and her political intuition .	(ROOT (S (NP (@NP (@NP (NP (DT the) (NN author)) (, ,)) (SBAR (WHNP (WHNP (WP$ whose) (NN career)) (PP (IN as) (NP (DT a) (@NP (JJ political) (NN columnist))))) (S (VP (VBZ has) (VP (@VP (VBN coincided) (PP (IN with) (NP (NN thatcher) (POS 's)))) (PP (IN as) (NP (JJ political) (NN leader)))))))) (, ,)) (@S (VP (VBZ describes) (NP (@NP (NP (NP (CD two) (NNS qualities)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (NP (PRP$ her) (@NP (JJS greatest) (NNS strengths))))))) (: :)) (NP (NP (PRP$ her) (@NP (`` ``) (NN sense))) (PP (IN of) (NP (JJ moral) (@NP (NN rectitude) (@NP ('' '') (@NP (CC and) (@NP (PRP$ her) (@NP (JJ political) (NN intuition))))))))))) (. .))))
0	0	the pulitizer prize-winning author 's second book in a projected four -volume work on the life of one of our most complex presidents .	(ROOT (NP (@NP (@NP (NP (NP (NP (DT the) (@NP (NN pulitizer) (@NP (JJ prize-winning) (@NP (NN author) (POS 's))))) (@NP (JJ second) (NN book))) (PP (IN in) (NP (DT a) (@NP (VBN projected) (QP (CD four)))))) (: -)) (NP (@NP (NP (NN volume) (NN work)) (PP (IN on) (NP (NP (DT the) (NN life)) (PP (IN of) (NP (CD one)))))) (PP (IN of) (NP (PRP$ our) (@NP (ADJP (RBS most) (JJ complex)) (NNS presidents)))))) (. .)))
0	0	the author , a former investigative journalist , was able to elicit untapped recollections from johnson 's old cronies .	(ROOT (S (NP (@NP (@NP (NP (DT the) (NN author)) (, ,)) (NP (DT a) (@NP (JJ former) (@NP (JJ investigative) (NN journalist))))) (, ,)) (@S (VP (VBD was) (ADJP (JJ able) (S (VP (TO to) (VP (@VP (VB elicit) (NP (JJ untapped) (NNS recollections))) (PP (IN from) (NP (NP (NN johnson) (POS 's)) (@NP (JJ old) (NNS cronies))))))))) (. .))))
0	0	simone de beauvoir ; a biography by deirdre bair -lrb- summit books -rrb-	(ROOT (NP (NP (@NP (NP (NP (NN simone)) (PP (IN de) (NP (NN beauvoir)))) (: ;)) (NP (NP (DT a) (NN biography)) (PP (IN by) (NP (NN deirdre) (NN bair))))) (NP (NP (JJ -lrb-) (@NP (NN summit) (NNS books))) (ADJP (JJ -rrb-)))))
0	0	it took the author , recipient of the national book award for her biography of samuel beckett , seven years to answer these questions .	(ROOT (S (NP (PRP it)) (@S (VP (@VP (@VP (VBD took) (NP (@NP (@NP (NP (DT the) (NN author)) (, ,)) (NP (NP (JJ recipient)) (PP (IN of) (NP (NP (DT the) (@NP (JJ national) (@NP (NN book) (NN award)))) (PP (IN for) (NP (NP (PRP$ her) (NN biography)) (PP (IN of) (NP (NN samuel) (NN beckett))))))))) (, ,))) (NP (CD seven) (NNS years))) (S (VP (TO to) (VP (VB answer) (NP (DT these) (NNS questions)))))) (. .))))
0	0	as a member of the white master tribe of south africa , the author grew up thinking himself a `` just white man . ''	(ROOT (S (PP (IN as) (NP (NP (DT a) (NN member)) (PP (IN of) (NP (NP (DT the) (@NP (JJ white) (@NP (NN master) (NN tribe)))) (PP (IN of) (NP (JJ south) (NNP africa))))))) (@S (, ,) (@S (NP (DT the) (NN author)) (@S (@S (VP (@VP (VBD grew) (PRT (RP up))) (S (VP (@VP (@VP (VBG thinking) (NP (PRP himself) (DT a))) (`` ``)) (NP (RB just) (@NP (JJ white) (NN man)))))) (. .)) ('' ''))))))
0	0	boundary lines for the new middle east were arbitrarily drawn on `` an empty map '' without any input from the leaders of those countries themselves , says the author of this carefully researched book based on recently opened archival material .	(ROOT (SINV (S (NP (NP (NN boundary) (NNS lines)) (PP (IN for) (NP (DT the) (@NP (JJ new) (@NP (JJ middle) (JJ east)))))) (VP (@VP (VBD were) (ADVP (RB arbitrarily))) (VP (@VP (@VP (VBN drawn) (PP (@PP (@PP (IN on) (`` ``)) (NP (DT an) (@NP (JJ empty) (NN map)))) ('' ''))) (PP (IN without) (NP (DT any) (NN input)))) (PP (IN from) (NP (NP (DT the) (NNS leaders)) (PP (IN of) (NP (NP (DT those) (NNS countries)) (ADVP (PRP themselves))))))))) (@SINV (, ,) (@SINV (@SINV (VP (VBZ says)) (NP (NP (DT the) (NN author)) (PP (IN of) (NP (NP (DT this) (@NP (ADJP (RB carefully) (VBN researched)) (NN book))) (VP (VBN based) (PP (IN on) (NP (NP (RB recently)) (VP (VBN opened) (NP (JJ archival) (NN material)))))))))) (. .)))))
0	0	a passionately told epic of china by yale professor and historian spence , author of eight other acclaimed works on china .	(ROOT (S (VP (ADVP (DT a) (RB passionately)) (@VP (@VP (VBN told) (NP (NP (NN epic)) (PP (IN of) (NP (NN china))))) (PP (IN by) (NP (@NP (NP (NN yale) (@NP (NN professor) (@NP (CC and) (@NP (NN historian) (NN spence))))) (, ,)) (NP (NP (NN author)) (PP (IN of) (NP (NP (CD eight) (@NP (JJ other) (@NP (JJ acclaimed) (NNS works)))) (PP (IN on) (NP (NN china)))))))))) (. .)))
0	0	the author 's dilemma was where to begin in a recorded history that spans <num> years .	(ROOT (S (NP (NP (DT the) (@NP (NN author) (POS 's))) (NN dilemma)) (@S (VP (VBD was) (SBAR (WHADVP (WRB where)) (S (VP (TO to) (VP (VB begin) (PP (IN in) (NP (NP (DT a) (@NP (JJ recorded) (NN history))) (SBAR (WHNP (WDT that)) (S (VP (VBZ spans) (NP (NN <num>) (NNS years)))))))))))) (. .))))
0	0	there are two aspects of the margaret thatcher phenomenon -- neither of which is addressed in this splendid british biography -- that every thinking american needs to keep in mind when assessing the achievements of this remarkable woman .	(ROOT (S (NP (EX there)) (@S (VP (VBP are) (NP (NP (CD two) (NNS aspects)) (PP (IN of) (NP (@NP (NP (DT the) (@NP (NN margaret) (@NP (NN thatcher) (NN phenomenon)))) (PRN (: --) (@PRN (SBAR (WHNP (NP (DT neither)) (WHPP (IN of) (WHNP (WDT which)))) (S (VP (VBZ is) (VP (VBN addressed) (PP (IN in) (NP (DT this) (@NP (JJ splendid) (@NP (JJ british) (NN biography))))))))) (: --)))) (SBAR (IN that) (S (NP (DT every) (@NP (NN thinking) (NN american))) (VP (VBZ needs) (S (VP (TO to) (VP (@VP (VB keep) (PP (IN in) (NP (NN mind)))) (SBAR (WHADVP (WRB when)) (S (VP (VBG assessing) (NP (NP (DT the) (NNS achievements)) (PP (IN of) (NP (DT this) (@NP (JJ remarkable) (NN woman)))))))))))))))))) (. .))))
0	0	in ideological terms , the author makes it clear that , her paternal education in conservative sentiment aside , not only did thatcher come to the true faith much later than reagan , but that between <num> -lrb- when she first entered parliament -rrb- and her crucial battle with edward heath for leadership of the tory party in <num> , thatcher had barely two conservative ideas to rub together .	(ROOT (S (PP (IN in) (NP (JJ ideological) (NNS terms))) (@S (, ,) (@S (NP (DT the) (NN author)) (@S (VP (@VP (VBZ makes) (S (NP (PRP it)) (ADJP (JJ clear)))) (SBAR (@SBAR (IN that) (, ,)) (S (NP (NP (PRP$ her) (@NP (JJ paternal) (NN education))) (PP (IN in) (NP (JJ conservative) (NN sentiment)))) (VP (ADVP (@ADVP (ADVP (RB aside)) (, ,)) (ADVP (RB not) (RB only))) (@VP (VBD did) (NP (NP (NN thatcher)) (VP (@VP (VBN come) (PP (TO to) (NP (DT the) (@NP (JJ true) (NN faith))))) (ADVP (ADVP (RB much) (RB later)) (SBAR (UCP (PP (IN than) (NP (NN reagan))) (@UCP (, ,) (@UCP (CC but) (NP (NP (DT that)) (PP (IN between) (NP (JJ <num>) (NN -lrb-))))))) (S (SBAR (WHADVP (WRB when)) (S (NP (PRP she)) (@S (ADVP (RB first)) (VP (VBD entered) (S (@S (S (NP (NN parliament)) (ADJP (JJ -rrb-))) (CC and)) (S (NP (NP (PRP$ her) (@NP (JJ crucial) (NN battle))) (PP (IN with) (ADJP (JJ edward)))) (ADJP (JJ heath) (PP (IN for) (NP (NP (NN leadership)) (PP (IN of) (NP (NP (DT the) (@NP (JJ tory) (NN party))) (PP (IN in) (NP (NN <num>)))))))))))))) (@S (, ,) (@S (NP (NN thatcher)) (VP (@VP (VBD had) (NP (QP (RB barely) (CD two)) (@NP (JJ conservative) (NNS ideas)))) (S (VP (TO to) (VP (VB rub) (ADVP (RB together)))))))))))))))))) (. .))))))
0	0	a high school dropout who drifted from job to job until he caught on as a bank trainee and rose to become chancellor of the exchequer in margaret thatcher 's cabinet , major personifies the conservative party as rebuilt by thatcher to recognize talent and reward merit .	(ROOT (S (NP (NP (DT a) (@NP (JJ high) (@NP (NN school) (NN dropout)))) (SBAR (WHNP (WP who)) (S (VP (@VP (@VP (VBD drifted) (PP (IN from) (NP (NN job)))) (PP (TO to) (NP (NN job)))) (SBAR (IN until) (S (NP (PRP he)) (VP (@VP (VP (VBD caught) (PP (IN on) (PP (IN as) (NP (DT a) (@NP (NN bank) (NN trainee)))))) (CC and)) (VP (VBD rose) (S (VP (TO to) (VP (VB become) (NP (NP (NN chancellor)) (PP (IN of) (NP (NP (DT the) (NN exchequer)) (PP (IN in) (NP (@NP (NP (NP (NN margaret) (@NP (NN thatcher) (POS 's))) (NN cabinet)) (, ,)) (NP (JJ major)))))))))))))))))) (@S (VP (@VP (@VP (@VP (VBZ personifies) (NP (DT the) (@NP (JJ conservative) (NN party)))) (PP (IN as) (NP (NN rebuilt)))) (PP (IN by) (NP (NN thatcher)))) (S (VP (TO to) (VP (VB recognize) (NP (NN talent) (@NP (CC and) (@NP (NN reward) (NN merit)))))))) (. .))))
0	0	major , at <num> the youngest of britain 's <num> prime ministers in this century , is himself a model of such a grit-and-guts rise out of poverty .	(ROOT (S (NP (@NP (@NP (@NP (NP (JJ major)) (, ,)) (PP (IN at) (NP (NN <num>)))) (NP (@NP (NP (DT the) (JJS youngest)) (PP (IN of) (NP (NP (NN britain) (POS 's)) (@NP (JJ <num>) (@NP (JJ prime) (NNS ministers)))))) (PP (IN in) (NP (DT this) (NN century))))) (, ,)) (@S (VP (VBZ is) (NP (@NP (NP (PRP himself)) (ADVP (NP (NP (DT a) (NN model)) (PP (IN of) (NP (PDT such) (@NP (DT a) (@NP (JJ grit-and-guts) (NN rise)))))) (IN out))) (PP (IN of) (NP (NN poverty))))) (. .))))
0	0	she has been active in local huntingdon charities , and in <num> she published a biography of opera singer joan sutherland .	(ROOT (S (@S (@S (@S (S (NP (PRP she)) (VP (VBZ has) (VP (@VP (VBN been) (ADJP (JJ active))) (PP (IN in) (NP (JJ local) (@NP (NN huntingdon) (NNS charities))))))) (, ,)) (CC and)) (S (PP (IN in) (NP (NN <num>))) (@S (NP (PRP she)) (VP (VBD published) (NP (NP (DT a) (NN biography)) (PP (IN of) (NP (NN opera) (@NP (NN singer) (@NP (NN joan) (NN sutherland)))))))))) (. .)))
0	0	he will succeed margaret thatcher as prime minister .	(ROOT (S (NP (PRP he)) (@S (VP (MD will) (VP (@VP (VB succeed) (NP (NN margaret) (NN thatcher))) (PP (IN as) (NP (JJ prime) (NN minister))))) (. .))))
0	0	on the economy : in the mold of margaret thatcher , major is a rigorous free-marketeer who will follow her policies of selling nationalized industries and holding down government spending .	(ROOT (FRAG (PP (IN on) (NP (DT the) (NN economy))) (@FRAG (: :) (@FRAG (S (PP (IN in) (NP (NP (DT the) (NN mold)) (PP (IN of) (NP (NN margaret) (NN thatcher))))) (@S (, ,) (@S (NP (JJ major)) (VP (VBZ is) (NP (NP (DT a) (@NP (JJ rigorous) (NN free-marketeer))) (SBAR (WHNP (WP who)) (S (VP (MD will) (VP (VB follow) (NP (NP (PRP$ her) (NNS policies)) (PP (IN of) (S (VP (@VP (VP (VBG selling) (VP (VBN nationalized) (NP (NNS industries)))) (CC and)) (VP (@VP (VBG holding) (PRT (RP down))) (NP (NN government) (NN spending)))))))))))))))) (. .)))))

what was the monetary value of the nobel peace prize in <num> ?	DESC	(ROOT (SBARQ (WHNP (WP what)) (@SBARQ (SQ (VBD was) (NP (NP (DT the) (@NP (JJ monetary) (NN value))) (PP (IN of) (NP (NP (DT the) (@NP (JJ nobel) (@NP (NN peace) (NN prize)))) (PP (IN in) (NP (NN <num>))))))) (. ?))))
1	0	each nobel prize is worth $ <num> .	(ROOT (S (NP (DT each) (@NP (JJ nobel) (NN prize))) (@S (VP (VBZ is) (ADJP (JJ worth) (NP ($ $) (CD <num>)))) (. .))))
